Achternaam;Voornaam;Stud.Nr.;Vak1;Vak2;Vak3;Vak4;Vak5
Popma;Stephano;34872117;Architectuur en computerorganisatie;Compilerbouw;Databases 2;0;0
Postuma;Timo;36903574;Algoritmen en complexiteit;Heuristieken 1;Kansrekenen 2;Netwerken en systeembeveiliging;Programmeren in Java 2
Potgieter;Desireé;64947290;Algoritmen en complexiteit;Databases 2;Programmeren in Java 2;0;0
Pothuizen;Aart;27950803;Compilerbouw;Project Genetic Algorithms;Reflectie op de digitale cultuur;Software engineering;0
Pothuizen;Mink;85236626;Heuristieken 2;Machine Learning;Programmeren in Java 2;0;0
Potman;Genesis;123355;Netwerken en systeembeveiliging;0;0;0;0
Prevoo;Hendrik-Jan;27805666;Reflectie op de digitale cultuur;0;0;0;0
Prinssen;Annigje;3883025;Moderne Databases;Netwerken en systeembeveiliging;0;0;0
Pruijmboom;Javier;82412626;Calculus 2;0;0;0;0
Putters;André;37110913;Autonomous Agents 2;Data Mining;Heuristieken 1;Reflectie op de digitale cultuur;Technology for games
Putters;Luciana;61611295;Autonomous Agents 2;0;0;0;0
Quik;Semiha;32044893;Project Numerical Recipes;Reflectie op de digitale cultuur;0;0;0
Raaijmakers;Haiko;38296757;Calculus 2;Machine Learning;Reflectie op de digitale cultuur;0;0
Ramcharan;Erdal;25077484;Databases 2;Project Genetic Algorithms;0;0;0
Reek;Adisa;20618153;Programmeren in Java 2;Webprogrammeren en databases;0;0;0
Regeling;Jarik;4353500;Heuristieken 1;Netwerken en systeembeveiliging;0;0;0
Reintjes;Romello;29474737;Collectieve Intelligentie;0;0;0;0
Remijn;Nadir;25557516;Netwerken en systeembeveiliging;0;0;0;0
Renes;Taeke;23215240;Compilebouw practicum;Programmeren in Java 2;0;0;0
Reuvekamp;Cheyenna;3474870;Algoritmen en complexiteit;Lineaire Algebra;Webprogrammeren en databases;0;0
Richardson;Léonie;58699305;Calculus 2;Moderne Databases;0;0;0
Ridderhof;Abdeslam;37279234;Calculus 2;Programmeren in Java 2;0;0;0
Rienks;Kimm;62105897;Calculus 2;Programmeren in Java 2;Software engineering;0;0
Rijkens;Lorraine;27123462;Databases 2;0;0;0;0
Rinkel;Karam;41527759;Algoritmen en complexiteit;Kansrekenen 2;Software engineering;0;0
Rodenburg;Fatime;7308727;Bioinformatica;Collectieve Intelligentie;Netwerken en systeembeveiliging;Project Numerical Recipes;0
Roest;Yarah;18144425;Moderne Databases;0;0;0;0
Roeterdink;Tori;22168693;Calculus 2;0;0;0;0
Rokx;Shan;60352393;Advanced Heuristics;Databases 2;Netwerken en systeembeveiliging;Reflectie op de digitale cultuur;Zoeken sturen en bewegen
Rombout;Krijntje;65408517;Calculus 2;Software engineering;0;0;0
Roodbeen;Karolina;76123484;Collectieve Intelligentie;Databases 2;Webprogrammeren en databases;Zoeken sturen en bewegen;0
Rooijmans;Ziya;43902015;Algoritmen en complexiteit;Databases 2;Webprogrammeren en databases;0;0
Roozendaal;Jennie;72547110;Kansrekenen 2;0;0;0;0
Rosenbrand;Jake;72526473;Calculus 2;0;0;0;0
Rotgans;Roma;88176729;Bioinformatica;Software engineering;0;0;0
Rothuizen;Tevfik;40343779;Algoritmen en complexiteit;Netwerken en systeembeveiliging;Software engineering;0;0
Rottier;Sivar;17222374;Collectieve Intelligentie;Databases 2;Moderne Databases;0;0
Rovers;Eleanora;92665222;Advanced Heuristics;Compilerbouw;0;0;0
Rust;Jannette;19662602;Project Numerical Recipes;0;0;0;0
Rutte;Tea;76393508;Heuristieken 1;0;0;0;0
Sarikaya;Angelica;52552718;Autonomous Agents 2;Databases 2;Software engineering;0;0
Scheffers;Imran;48357272;Analysemethoden en -technieken;Calculus 2;Heuristieken 1;Software engineering;0
Schellevis;Albertine;80188025;Analysemethoden en -technieken;Calculus 2;0;0;0
Scheltema;Minoesch;73302736;Analysemethoden en -technieken;Calculus 2;Software engineering;0;0
Scherpenzeel;Jackson;94955328;Analysemethoden en -technieken;Kansrekenen 2;Lineaire Algebra;Programmeren in Java 2;0
Schijvenaars;Xiao;33252501;Machine Learning;0;0;0;0
Schoneveld;Elbertha;12091019;Calculus 2;Databases 2;0;0;0
Schoonderwoerd;Jaiden;72652638;Heuristieken 2;0;0;0;0
Schoutens;Nassira;90296821;Programmeren in Java 2;0;0;0;0
Schrader;Arif;14179347;Calculus 2;Project Genetic Algorithms;0;0;0
Schrama;Emrah;44901052;Autonomous Agents 2;Heuristieken 1;Informatie- en organisatieontwerp;Netwerken en systeembeveiliging;Technology for games
Schrauwen;Silvy;4709948;Moderne Databases;Netwerken en systeembeveiliging;Programmeren in Java 2;Reflectie op de digitale cultuur;0
Schuiling;Thom;64246605;Netwerken en systeembeveiliging;0;0;0;0
Selten;Levien;58469172;Calculus 2;Kansrekenen 2;Programmeren in Java 2;0;0
Selten;Marianka;34173695;Calculus 2;0;0;0;0
Sieben;Michèl;83443653;Analysemethoden en -technieken;Heuristieken 1;0;0;0
Siemonsma;Enes;35330349;Collectieve Intelligentie;Lineaire Algebra;0;0;0
Sier;Patricia;73236988;Bioinformatica;Compilerbouw;Project Numerical Recipes;Software engineering;0
Siero;Christiana;68601184;Collectieve Intelligentie;Programmeren in Java 2;0;0;0
Sijmons;Servet;40633534;Advanced Heuristics;Project Genetic Algorithms;0;0;0
Sikking;Saif;14072826;Software engineering;0;0;0;0
Sips;Jimi;64228258;Calculus 2;Collectieve Intelligentie;Webprogrammeren en databases;0;0
Slangen;Noë;92977271;Heuristieken 1;Informatie- en organisatieontwerp;Programmeren in Java 2;0;0
Slob;Xanne;80998260;Lineaire Algebra;0;0;0;0
Smallegange;Rachell;9287708;Software engineering;0;0;0;0
Snelder;Shaya;19858730;Autonomous Agents 2;Heuristieken 1;0;0;0
Snippe;Dolf;57419039;Zoeken sturen en bewegen;0;0;0;0
Soekhai;Marck;77392404;Netwerken en systeembeveiliging;Reflectie op de digitale cultuur;Webprogrammeren en databases;0;0
Sonnemans;Logan;91527663;Algoritmen en complexiteit;Databases 2;0;0;0
Speelman;Marrit;76924297;Interactie-ontwerp;Kansrekenen 2;Project Genetic Algorithms;0;0
Spronck;Kenan;42297781;Compilebouw practicum;0;0;0;0
Steeman;Ya;37804282;Zoeken sturen en bewegen;0;0;0;0
Stegink;Sharief;26207525;Databases 2;Netwerken en systeembeveiliging;0;0;0
Sterenberg;Orçun;79167252;Calculus 2;Compilerbouw;Programmeren in Java 2;0;0
Stienen;Wichard;55412918;Calculus 2;Lineaire Algebra;0;0;0
Stokkel;Tom;74182182;Calculus 2;Kansrekenen 2;Lineaire Algebra;Project Numerical Recipes;0
Stoppels;Franke;64554442;Algoritmen en complexiteit;0;0;0;0
Streefland;Kamil;17823206;Data Mining;Kansrekenen 2;Programmeren in Java 2;0;0
Stroo;Gonca;39905995;Programmeren in Java 2;0;0;0;0
Stuurman;Franklin;56121590;Databases 2;Netwerken en systeembeveiliging;0;0;0
Swiers;Chaimae;4921119;Analysemethoden en -technieken;Databases 2;Lineaire Algebra;Programmeren in Java 2;0
't Jong;Christoffel;83415514;Calculus 2;Moderne Databases;Programmeren in Java 2;0;0
't Lam;Jorg;47982619;Programmeren in Java 2;Technology for games;0;0;0
Talhaoui;Nermin;89985072;Bioinformatica;Compilebouw practicum;Software engineering;0;0
Tamis;Elbertus;39659121;Kansrekenen 2;0;0;0;0
Tap;Olof;88263855;Programmeren in Java 2;0;0;0;0
Tas;Sanja;95631564;Compilerbouw;Software engineering;0;0;0
Tas;Skye;49631542;Databases 2;Kansrekenen 2;Moderne Databases;0;0
te Braak;Nanette;83266686;Architectuur en computerorganisatie;Calculus 2;Compilerbouw;Moderne Databases;0
Teekens;Xiao;37399898;Interactie-ontwerp;Lineaire Algebra;Programmeren in Java 2;Reflectie op de digitale cultuur;Zoeken sturen en bewegen
ten Pas;Maan;20331158;Architectuur en computerorganisatie;Heuristieken 1;Kansrekenen 2;0;0
ten Pas;Tjalle;94686490;Calculus 2;Databases 2;Lineaire Algebra;0;0
ter Heide;Pleun;4568018;Bioinformatica;Compilebouw practicum;Heuristieken 1;Software engineering;0
Terpstra;Aboubakr;82854435;Analysemethoden en -technieken;0;0;0;0
Tettero;Arianna;64053722;Programmeren in Java 2;0;0;0;0
Teuben;Jonah;53202517;Bioinformatica;Compilerbouw;Webprogrammeren en databases;Zoeken sturen en bewegen;0
Thielen;Rochelle;34262212;Kansrekenen 2;Programmeren in Java 2;0;0;0
Thoma;Silvie;57595888;Collectieve Intelligentie;Compilebouw practicum;0;0;0
Tielemans;Ard;21964491;Algoritmen en complexiteit;Bioinformatica;Collectieve Intelligentie;Data Mining;Programmeren in Java 2
Tijhof;Raja;36213792;Reflectie op de digitale cultuur;0;0;0;0
Tip;Bilal;19058315;Netwerken en systeembeveiliging;0;0;0;0
Tjeerdsma;Sarena;14591033;Bioinformatica;Calculus 2;Heuristieken 1;Kansrekenen 2;Lineaire Algebra
Toetenel;Hedwich;66034145;Interactie-ontwerp;Webprogrammeren en databases;0;0;0
Toren;Samentha;24875739;Calculus 2;Kansrekenen 2;0;0;0
Traa;Liza;83869542;Databases 2;Heuristieken 2;0;0;0
Truijen;Tom;9067939;Compilerbouw;Zoeken sturen en bewegen;0;0;0
Tunç;Jacey;82390428;Reflectie op de digitale cultuur;0;0;0;0
Twigt;Annamaria;78544592;Calculus 2;Moderne Databases;0;0;0
Ubbink;Arina;57701414;Zoeken sturen en bewegen;0;0;0;0
Udo;Emme;42171678;Collectieve Intelligentie;Heuristieken 1;Moderne Databases;Zoeken sturen en bewegen;0
Uitslag;Felien;43027916;Analysemethoden en -technieken;Collectieve Intelligentie;Databases 2;Heuristieken 2;0
Ursem;Keely;14816774;Bioinformatica;Calculus 2;Databases 2;Heuristieken 1;0
Vaatstra;Nygel;14309255;Compilerbouw;Moderne Databases;Software engineering;Technology for games;0
Valster;Dineke;20830477;Heuristieken 1;Programmeren in Java 2;0;0;0
van Aaken;Shairon;24167153;Zoeken sturen en bewegen;0;0;0;0
van Aalderen;Saïd;63408522;Kansrekenen 2;0;0;0;0
van Amelsvoort;Cherilyn;97019450;Analysemethoden en -technieken;Heuristieken 1;Kansrekenen 2;Programmeren in Java 2;0
van Amerongen;Leo;73196865;Programmeren in Java 2;0;0;0;0
van Amersfoort;Peter-Jan;65318664;Analysemethoden en -technieken;Software engineering;0;0;0
van Apeldoorn;Jacky;28055464;Interactie-ontwerp;0;0;0;0
van Baaren;Nika;87830198;Analysemethoden en -technieken;Netwerken en systeembeveiliging;Project Genetic Algorithms;Reflectie op de digitale cultuur;0
van Barneveld;Cemil;90474003;Databases 2;Reflectie op de digitale cultuur;Zoeken sturen en bewegen;0;0
van Bavel;Johannus;81022997;Data Mining;Heuristieken 2;Netwerken en systeembeveiliging;Project Numerical Recipes;0
van Bentem;Lody;21070547;Project Numerical Recipes;0;0;0;0
van Berkom;Ynte;99975346;Heuristieken 2;Reflectie op de digitale cultuur;0;0;0
van Bezooijen;Liedeke;28357474;Collectieve Intelligentie;Software engineering;0;0;0
van de Bunt;Emircan;75759231;Compilerbouw;0;0;0;0
van de Geijn;Robbie;70193386;Analysemethoden en -technieken;Reflectie op de digitale cultuur;0;0;0
van de Kraats;Patryk;63111000;Machine Learning;Moderne Databases;Programmeren in Java 2;0;0
van de Kruijs;Kamila;81116418;Project Numerical Recipes;0;0;0;0
van de Kruijs;Rayen;27187154;Calculus 2;Compilerbouw;Kansrekenen 2;Machine Learning;Programmeren in Java 2
van de Kuilen;Roswitha;32183908;Project Numerical Recipes;0;0;0;0
van de Pavert;Rudy;31306819;Calculus 2;0;0;0;0
van de Pol;Shawny;42196732;Bioinformatica;Collectieve Intelligentie;Databases 2;Lineaire Algebra;0
van de Ridder;Leida;6913074;Bioinformatica;Calculus 2;Programmeren in Java 2;Reflectie op de digitale cultuur;0
van de Sanden;Jurre;66120270;Bioinformatica;Netwerken en systeembeveiliging;0;0;0
van de Wardt;Paulette;61518436;Kansrekenen 2;Machine Learning;Reflectie op de digitale cultuur;0;0
van den Berg;Nanke;67625383;Machine Learning;0;0;0;0
van den Boer;Btissam;97371272;Kansrekenen 2;Technology for games;0;0;0
van den Born;Enrique;32204977;Compilebouw practicum;Informatie- en organisatieontwerp;Technology for games;0;0
van den Eijnde;Cyrano;81218347;Heuristieken 1;Kansrekenen 2;Lineaire Algebra;0;0
van den Engel;Ceren;8464817;Compilerbouw;Programmeren in Java 2;0;0;0
van den Ham;Cyrille;51791169;Programmeren in Java 2;0;0;0;0
van den Hoogen;Léon;55530367;Calculus 2;0;0;0;0
van den Oord;Amos;79858178;Kansrekenen 2;0;0;0;0
van der Doelen;Chelly;57086672;Analysemethoden en -technieken;Heuristieken 2;Reflectie op de digitale cultuur;Webprogrammeren en databases;0
van der Drift;Tamar;55103073;Compilebouw practicum;0;0;0;0
van der Gaag;Lakshmi;15187217;Databases 2;0;0;0;0
van der Geer;Deejay;51566595;Algoritmen en complexiteit;Autonomous Agents 2;Data Mining;Databases 2;Heuristieken 2
van der Gulik;Ferhan;41489515;Moderne Databases;0;0;0;0
van der Klei;Daisy;77896638;Collectieve Intelligentie;Compilerbouw;Databases 2;Lineaire Algebra;Programmeren in Java 2
van der Leek;Pearl;59111489;Moderne Databases;0;0;0;0
van der Marel;Ay?egül;51509565;Algoritmen en complexiteit;0;0;0;0
van der Meer;Aïcha;23983476;Algoritmen en complexiteit;Informatie- en organisatieontwerp;Programmeren in Java 2;0;0
van der Meeren;Abdul;64600457;Bioinformatica;Calculus 2;Moderne Databases;Programmeren in Java 2;0
van der Meij;Geerte;60312776;Collectieve Intelligentie;Compilerbouw;Project Numerical Recipes;Software engineering;0
van der Niet;Maritha;41578612;Analysemethoden en -technieken;Lineaire Algebra;Project Genetic Algorithms;Reflectie op de digitale cultuur;Technology for games
van der Plaats;Johannes;22288615;Programmeren in Java 2;Webprogrammeren en databases;0;0;0
van der Plas;Graciella;32705005;Calculus 2;Kansrekenen 2;0;0;0
van der Steege;Darian;23391676;Kansrekenen 2;Programmeren in Java 2;0;0;0
van der Ster;Tos;23628642;Calculus 2;0;0;0;0
van der Stoel;Scotty;94687383;Compilerbouw;Programmeren in Java 2;0;0;0
van der Vleuten;Yun;8557857;Informatie- en organisatieontwerp;0;0;0;0
van der Wiel;Josef;48678993;Analysemethoden en -technieken;Heuristieken 2;Netwerken en systeembeveiliging;Project Genetic Algorithms;0
van der Zwet;Jos;6723948;Bioinformatica;Calculus 2;Compilerbouw;Programmeren in Java 2;Zoeken sturen en bewegen
van Dieten;George;5739011;Heuristieken 2;0;0;0;0
van Dinther;Ilayda;11593163;Calculus 2;0;0;0;0
van Eert;Naciye;55474917;Kansrekenen 2;Lineaire Algebra;Programmeren in Java 2;Software engineering;0
van Eeuwijk;Jayme;13996448;Data Mining;Programmeren in Java 2;Project Numerical Recipes;0;0
van Eijndhoven;Juan;42406214;Project Numerical Recipes;Reflectie op de digitale cultuur;0;0;0
van Geest;Wytse;82688900;Kansrekenen 2;0;0;0;0
van Gerwen;Carmela;76661016;Calculus 2;Compilerbouw;Interactie-ontwerp;Project Genetic Algorithms;0
van Groeningen;Joshi;5595824;Analysemethoden en -technieken;Compilerbouw;0;0;0
van Hall;Ouidad;37744525;Data Mining;Machine Learning;Netwerken en systeembeveiliging;Programmeren in Java 2;Software engineering
van Halteren;Walther;69086548;Kansrekenen 2;Technology for games;0;0;0
van Herten;Tamimount;88627897;Autonomous Agents 2;Zoeken sturen en bewegen;0;0;0
van Hezik;Shauny;63955238;Kansrekenen 2;Zoeken sturen en bewegen;0;0;0
van Ierland;Nalinie;76648468;Webprogrammeren en databases;0;0;0;0
van Ingen;Berit;3707829;Algoritmen en complexiteit;Interactie-ontwerp;Zoeken sturen en bewegen;0;0
van Iwaarden;Aidan;80135353;Compilerbouw;Programmeren in Java 2;0;0;0
van Kalsbeek;Ciske;25330192;Data Mining;Netwerken en systeembeveiliging;0;0;0
van Kasteel;Yücel;45915482;Calculus 2;Software engineering;Zoeken sturen en bewegen;0;0
van Kessel;Romany;75446434;Calculus 2;0;0;0;0
van Kommer;Demelza;79617364;Bioinformatica;Calculus 2;Lineaire Algebra;0;0
van Leussen;Seval;68286356;Reflectie op de digitale cultuur;0;0;0;0
van Lingen;Ruveyda;28618400;Advanced Heuristics;Architectuur en computerorganisatie;Netwerken en systeembeveiliging;Project Numerical Recipes;0
van Lingen;Touraya;68360259;Data Mining;0;0;0;0
van Loon;Harwin;26406342;Collectieve Intelligentie;Compilebouw practicum;Databases 2;Technology for games;0
van Loveren;Lammigje;39459642;Autonomous Agents 2;Compilerbouw;Databases 2;Machine Learning;Programmeren in Java 2
van Luttikhuizen;Fae;56544130;Analysemethoden en -technieken;Calculus 2;0;0;0
van Maarseveen;Micha;78821918;Analysemethoden en -technieken;Databases 2;Moderne Databases;Project Genetic Algorithms;0
van Marle;Meta;34243356;Analysemethoden en -technieken;Compilerbouw;Kansrekenen 2;Lineaire Algebra;Netwerken en systeembeveiliging
van Maurik;Léon;88752563;Calculus 2;Compilerbouw;Databases 2;Project Numerical Recipes;0
van Mierlo;Abram;89180944;Architectuur en computerorganisatie;Moderne Databases;Software engineering;Webprogrammeren en databases;0
van Montfort;Ans;59753700;Data Mining;Reflectie op de digitale cultuur;Zoeken sturen en bewegen;0;0
van Mourik;Yuri;33877725;Bioinformatica;Software engineering;Webprogrammeren en databases;0;0
van Munster;Yang;90103047;Project Numerical Recipes;0;0;0;0
van Oss;Miguel;12170832;Netwerken en systeembeveiliging;0;0;0;0
van Osta;Nanet;2550487;Interactie-ontwerp;Programmeren in Java 2;Project Numerical Recipes;0;0
van Plateringen;Sien;11741347;Compilerbouw;Moderne Databases;0;0;0
van Poorten;Fedoua;21029457;Bioinformatica;Calculus 2;0;0;0
van Putten;Jetty;70878567;Bioinformatica;Data Mining;Informatie- en organisatieontwerp;0;0
van Ravesteijn;Jersey;20374340;Interactie-ontwerp;0;0;0;0
van Riel;Jodi;58592894;Algoritmen en complexiteit;Calculus 2;Databases 2;Moderne Databases;0
van Rietschoten;Cleo;79879876;Heuristieken 1;Programmeren in Java 2;0;0;0
van Roemburg;Caressa;7386961;Programmeren in Java 2;0;0;0;0
van Rosmalen;El;26172512;Lineaire Algebra;0;0;0;0
van Rossem;Georgia;58736785;Heuristieken 1;Heuristieken 2;0;0;0
van Ruitenbeek;Dragana;34110913;Compilerbouw;0;0;0;0
van Ruler;Borre;37498675;Kansrekenen 2;0;0;0;0
van Santen;Marilène;16333449;Lineaire Algebra;Webprogrammeren en databases;0;0;0
van Sleeuwen;Sanne;9332762;Collectieve Intelligentie;Programmeren in Java 2;Technology for games;0;0
van Sommeren;Dalila;10698627;Programmeren in Java 2;Webprogrammeren en databases;0;0;0
van Suijlekom;Elske;11996292;Databases 2;Heuristieken 1;Moderne Databases;Technology for games;0
van 't Oever;Samah;47462856;Kansrekenen 2;Moderne Databases;0;0;0
van Teeffelen;Julot;96453361;Algoritmen en complexiteit;Bioinformatica;Zoeken sturen en bewegen;0;0
van Triest;Enrico;46989508;Compilerbouw;Databases 2;0;0;0
van Vloten;Tarik;83210352;Lineaire Algebra;Software engineering;0;0;0
van Voorden;Priscillia;29640619;Collectieve Intelligentie;Databases 2;Netwerken en systeembeveiliging;Programmeren in Java 2;Software engineering
van Waardenburg;Anne-Jan;56191333;Databases 2;Netwerken en systeembeveiliging;0;0;0
van Walsum;Maggy;37701751;Databases 2;Interactie-ontwerp;0;0;0
van Wanrooij;Maran;65675896;Compilebouw practicum;Interactie-ontwerp;0;0;0
van Weel;Renco;89338938;Kansrekenen 2;Project Numerical Recipes;Software engineering;Technology for games;0
van Wensen;Hazel;35315956;Heuristieken 2;0;0;0;0
van Wiggen;Sanna;32595335;Lineaire Algebra;0;0;0;0
van Zeijl;Hui;14138904;Architectuur en computerorganisatie;Compilebouw practicum;Heuristieken 1;0;0
van Zijderveld;Jorian;41153310;Programmeren in Java 2;Software engineering;0;0;0
van Zoelen;Anthonius;64768422;Interactie-ontwerp;0;0;0;0
van Zon;Christiaan;66570705;Lineaire Algebra;0;0;0;0
Veeke;Neele;48198668;Moderne Databases;0;0;0;0
Veldhuis;Bobby;61443567;Collectieve Intelligentie;Heuristieken 2;Programmeren in Java 2;Webprogrammeren en databases;0
Velt;Vinod;17092717;Databases 2;Webprogrammeren en databases;0;0;0
Vendel;Nadja;91250534;Compilebouw practicum;0;0;0;0
Verhorst;Solomon;88636924;Compilerbouw;0;0;0;0
Verkuijl;Yuki;5085194;Analysemethoden en -technieken;Compilebouw practicum;Databases 2;0;0
Vermanen;Chloe;23565001;Analysemethoden en -technieken;Calculus 2;Lineaire Algebra;0;0
Vermeeren;Talha;97136582;Data Mining;Netwerken en systeembeveiliging;0;0;0
Versantvoort;Maureen;70072978;Databases 2;Moderne Databases;Programmeren in Java 2;0;0
Versteeg;Kavish;22323043;Data Mining;Heuristieken 1;Software engineering;Technology for games;0
Vervaart;Sherman;12430748;Project Numerical Recipes;Technology for games;0;0;0
Vingerhoets;Karim;98105190;Compilerbouw;Heuristieken 1;0;0;0
Vinke;Jiri;73980360;Collectieve Intelligentie;0;0;0;0
Vinken;Kamiel;73350019;Analysemethoden en -technieken;0;0;0;0
Visch;Arnela;95007221;Compilerbouw;0;0;0;0
Voesten;Tjesse;13658563;Heuristieken 1;Informatie- en organisatieontwerp;Reflectie op de digitale cultuur;Zoeken sturen en bewegen;0
Voigt;Edwinus;62363761;Calculus 2;Netwerken en systeembeveiliging;0;0;0
Volman;Nadien;31194811;Compilerbouw;Technology for games;0;0;0
Vooijs;Annemarie;5892092;Compilebouw practicum;0;0;0;0
Voskuilen;Dax;78443067;Calculus 2;Moderne Databases;Software engineering;0;0
Vries;Jort;9731271;Calculus 2;Kansrekenen 2;Netwerken en systeembeveiliging;Programmeren in Java 2;0
Vromans;Rhona;34806836;Autonomous Agents 2;0;0;0;0
Vullings;Zhen;53775014;Heuristieken 1;0;0;0;0
Wallenburg;Laurent;44828429;Algoritmen en complexiteit;Interactie-ontwerp;0;0;0
Waninge;Vasco;15051051;Bioinformatica;Machine Learning;Moderne Databases;Zoeken sturen en bewegen;0
Warsame;Reduan;65960683;Collectieve Intelligentie;Compilerbouw;0;0;0
Weij;Matisse;37770881;Collectieve Intelligentie;Compilerbouw;Project Genetic Algorithms;0;0
Welling;Jos;25106480;Collectieve Intelligentie;Project Genetic Algorithms;Software engineering;0;0
Wensing;Evelina;56988998;Kansrekenen 2;Machine Learning;0;0;0
Wesselink;Djamilla;28957789;Calculus 2;Kansrekenen 2;Zoeken sturen en bewegen;0;0
Wesselman;Eyup;58074656;Software engineering;0;0;0;0
Wester;Harke;53107172;Collectieve Intelligentie;Heuristieken 1;0;0;0
Westera;Yunus;2079771;Compilerbouw;Machine Learning;0;0;0
Westgeest;Keshia;61520025;Calculus 2;0;0;0;0
Westra;Mies;12782624;Programmeren in Java 2;0;0;0;0
Wiegmans;Maryam;84449005;Moderne Databases;Project Genetic Algorithms;Reflectie op de digitale cultuur;0;0
Wielenga;Maris;19717077;Calculus 2;0;0;0;0
Wiersema;Filipe;72796858;Autonomous Agents 2;Compilerbouw;Databases 2;0;0
Wijers;Vigo;39429093;Advanced Heuristics;0;0;0;0
Wijnands;Heiltje;48503689;Compilerbouw;Programmeren in Java 2;Project Numerical Recipes;0;0
Wijngaarden;Marck;24277163;Collectieve Intelligentie;Databases 2;Moderne Databases;Reflectie op de digitale cultuur;0
Wijnsma;Alexandra;72456780;Analysemethoden en -technieken;Databases 2;Netwerken en systeembeveiliging;0;0
Wind;Ihsane;51052738;Reflectie op de digitale cultuur;0;0;0;0
Winkelaar;Yuna;23652927;Algoritmen en complexiteit;0;0;0;0
Wobbes;Jacko;30050930;Bioinformatica;0;0;0;0
Woertman;Ayça;75521763;Collectieve Intelligentie;Heuristieken 1;Informatie- en organisatieontwerp;Moderne Databases;Technology for games
Wolswijk;Sayfeddine;28358060;Webprogrammeren en databases;0;0;0;0
Wullink;Frederikus;33672995;Analysemethoden en -technieken;Calculus 2;0;0;0
Yazici;Gabriëlla;52715680;Algoritmen en complexiteit;Compilebouw practicum;Reflectie op de digitale cultuur;Software engineering;0
Yusuf;Vanita;10609762;Calculus 2;0;0;0;0
Zaaijer;Juno;94930277;Heuristieken 1;Webprogrammeren en databases;0;0;0
Zagers;Fransiscus;39230359;Kansrekenen 2;Webprogrammeren en databases;0;0;0
Zhang;Mellanie;23658570;Analysemethoden en -technieken;Calculus 2;Databases 2;Programmeren in Java 2;0
Zondag;Malte;14847953;Advanced Heuristics;Interactie-ontwerp;Webprogrammeren en databases;0;0
Zonneveld;Marise;98780382;Data Mining;0;0;0;0
Zwarts;Chico;59289233;Architectuur en computerorganisatie;0;0;0;0
Zweekhorst;Stein;21311067;Lineaire Algebra;0;0;0;0
